0,0,0,1,1,simply
1,0,1,3,4,simply
4,0,2,1,5,fibonacci
5,1,2,7,12,simply
12,1,3,2,14,fibonacci
14,2,3,4,18,fibonacci
18,3,3,15,33,simply
33,3,4,7,40,fibonacci
40,4,4,31,71,simply
71,4,5,12,83,fibonacci
83,5,5,63,146,simply
146,5,6,20,166,fibonacci
166,6,6,127,293,simply
293,6,7,33,326,fibonacci
326,7,7,54,380,fibonacci
380,8,7,255,635,simply
635,8,8,88,723,fibonacci
723,9,8,511,1234,simply
1234,9,9,143,1377,fibonacci
1377,10,9,1023,2400,simply
2400,10,10,232,2632,fibonacci
2632,11,10,2047,4679,simply
4679,11,11,376,5055,fibonacci
5055,12,11,609,5664,fibonacci
5055,12,11,4095,9150,simply
9150,13,12,986,10136,fibonacci
10136,14,12,8191,18327,simply
18327,14,13,1596,19923,fibonacci
19923,15,13,16383,36306,simply
36306,15,14,2583,38889,fibonacci
38889,16,14,32767,71656,simply
71656,16,15,4180,75836,fibonacci
75836,17,15,65535,14137,simply
14137,17,16,6764,14813,fibonacci
14813,18,16,10945,15908,fibonacci
15908,19,16,13107,29015,simply
29015,19,17,17710,30786,fibonacci
30786,20,17,26214,57000,simply
57000,20,18,28656,59866,fibonacci
59866,21,18,52428,11229,simply
11229,21,19,46367,11693,fibonacci
11693,22,19,10485,22178,simply
22178,22,20,75024,22929,fibonacci
22929,23,20,12139,24143,fibonacci
24143,24,20,20971,45114,simply
45114,24,21,19641,47078,fibonacci
47078,25,21,41943,89021,simply
89021,25,22,31781,92199,fibonacci
92199,26,22,83886,17608,simply
17608,26,23,51422,18122,fibonacci
18122,27,23,83203,18954,fibonacci
18954,28,23,16777,35732,simply
35732,28,24,33554,69286,simply
69286,28,25,13462,70632,fibonacci
70632,29,25,21783,72811,fibonacci
72811,30,25,67108,13991,simply
13991,30,26,35245,14344,fibonacci
14344,31,26,13421,27766,simply
27766,31,27,57028,28336,fibonacci
28336,32,27,26843,55180,simply
55180,32,28,92274,56102,fibonacci
56102,33,28,14930,57595,fibonacci
57595,34,28,53687,11128,simply
11128,34,29,24157,11369,fibonacci
11369,35,29,10737,22107,simply
22107,35,30,39088,22498,fibonacci
22498,36,30,21474,43973,simply
43973,36,31,63245,44605,fibonacci
44605,37,31,42949,87555,simply
87555,37,32,10233,88578,fibonacci
88578,38,32,16558,90234,fibonacci
90234,39,32,85899,17613,simply
17613,39,33,26791,17881,fibonacci
17881,40,33,17179,35061,simply
35061,40,34,43349,35494,fibonacci
35494,41,34,34359,69854,simply
69854,41,35,70140,70555,fibonacci
70555,42,35,68719,13927,simply
13927,42,36,11349,14041,fibonacci
14041,43,36,18363,14224,fibonacci
14224,44,36,13743,27968,simply
27968,44,37,29712,28265,fibonacci
28265,45,37,27487,55753,simply
55753,45,38,48075,56234,fibonacci
56234,46,38,54975,11120,simply
11120,46,39,77787,11198,fibonacci
11198,47,39,12586,11324,fibonacci
11324,48,39,10995,22319,simply
22319,48,40,21990,44309,simply
44309,48,41,20365,44513,fibonacci
44513,49,41,32951,44843,fibonacci
44843,50,41,43980,88823,simply
88823,50,42,53316,89356,fibonacci
89356,51,42,87960,17731,simply
17731,51,43,86267,17818,fibonacci
17818,52,43,13958,17957,fibonacci
17957,53,43,17592,35549,simply
35549,53,44,35184,70734,simply
70734,53,45,22585,70960,fibonacci
70960,54,45,36543,71325,fibonacci
71325,55,45,70368,14169,simply
14169,55,46,59128,14228,fibonacci
14228,56,46,14073,28302,simply
28302,56,47,95672,28397,fibonacci
28397,57,47,28147,56545,simply
56545,57,48,15480,56700,fibonacci
56700,58,48,25047,56950,fibonacci
56950,59,48,56294,11324,simply
11324,59,49,40527,11365,fibonacci
11365,60,49,11258,22624,simply
22624,60,50,65574,22689,fibonacci
22689,61,50,22517,45207,simply
45207,61,51,10610,45313,fibonacci
45313,62,51,45035,90349,simply
90349,62,52,17167,90521,fibonacci
90521,63,52,27777,90799,fibonacci
90799,64,52,90071,18087,simply
18087,64,53,44945,18132,fibonacci
18132,65,53,18014,36146,simply
36146,65,54,72723,36219,fibonacci
36219,66,54,36028,72247,simply
72247,66,55,11766,72365,fibonacci
72365,67,55,19039,72556,fibonacci
72556,68,55,72057,14461,simply
14461,68,56,14411,28872,simply
28872,68,57,30806,28903,fibonacci
28903,69,57,49845,28953,fibonacci
28953,70,57,28823,57776,simply
57776,70,58,80651,57857,fibonacci
57857,71,58,57646,11550,simply
11550,71,59,13049,11563,fibonacci
11563,72,59,11529,23092,simply
23092,72,60,21114,23113,fibonacci
23113,73,60,23058,46172,simply
